test_id,geometry,reynolds,velocity,pressure_gradient,expected_regime,hash,simulation_time,entropy_time,total_time,velocity_stats,tree_nodes,tree_depth,navigation_path,path_length,velocity_field_shape,success
783,pipe,2785.714285714286,1.0,-0.2,turbulent,fc43cf95f2ed1d162b8b335d7dce04686a46089ccf524d4e51629779ec3648a3,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3804,cavity,3000.0000000000014,0.5,-0.25,turbulent,d51c606df1f6e9793998dab7a01a8157d4201787fe24db5db65f65d1ff5ee09f,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
436,pipe,1343.157894736842,1.5,-0.1,laminar,a7a632b3df7fc4257a72a01eabe0787944ebf27379c31fbf90e0cb37f520e303,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
115,pipe,323.6842105263158,2.0,-0.05,laminar,f6bc7cef2fa4dfd5fdbacc01af1959076bfb67d38dd0666c8b626d597f7b9d03,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
2251,channel,2785.714285714286,0.5,-0.1,turbulent,556a61678c083852241b5c2226b0f19d767b8c9fed1a4d6a6432e8030c87aa95,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3077,cavity,402.10526315789474,0.5,-0.15,laminar,2707dba6bfea259620b84d32728e0d8588e77fafffa7efe4386776d567221187,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
3547,cavity,1928.5714285714284,2.5,-0.15,transition,fdc3fc31ba3b39d1e130661dff5e83e1e6fa9a456ea3d095bd1034401299195c,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2032,channel,1821.4285714285716,1.0,-0.15,transition,778e9973dd16dd398dbf97cc87dc3cc788c0bdbd34988aa1f4648f13297cbc9a,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3943,cavity,5391.046496804163,2.0,-0.2,turbulent,1e077a4c15b61f6387d021c98fe3426da95427b276871d2a19bda8f46511322b,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
343,pipe,1029.4736842105262,2.0,-0.2,laminar,6a4728913630932881e58b71482bc2defad624a9f5b70e2869b34161b1dae5d0,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
