exp_19 Phase 8 n=24 workers=8 start 20260903_155724
  ~36800000 trees, 363180 survivors [63271s]
  ~36900000 trees, 363820 survivors [63297s]
  ~37000000 trees, 364823 survivors [63326s]
  ~37100000 trees, 365402 survivors [63351s]
  ~37200000 trees, 366058 survivors [63376s]
  ~37300000 trees, 367173 survivors [63401s]
  ~37400000 trees, 367951 survivors [63429s]
  ~37500000 trees, 368480 survivors [63455s]
  ~37600000 trees, 369131 survivors [63481s]
  ~37700000 trees, 369886 survivors [63508s]
  ~37800000 trees, 370593 survivors [63536s]
  ~37900000 trees, 371298 survivors [63563s]
  ~38000000 trees, 372225 survivors [63588s]
  ~38100000 trees, 373366 survivors [63612s]
  ~38200000 trees, 374273 survivors [63639s]
  ~38300000 trees, 375391 survivors [63664s]
  ~38400000 trees, 376535 survivors [63690s]
  ~38500000 trees, 377431 survivors [63715s]
  ~38600000 trees, 378239 survivors [63741s]
  ~38700000 trees, 378935 survivors [63767s]
  ~38800000 trees, 379515 survivors [63792s]
  ~38900000 trees, 380556 survivors [63818s]
  ~39000000 trees, 381533 survivors [63842s]
  ~39100000 trees, 382924 survivors [63865s]
  ~39200000 trees, 383775 survivors [63891s]
  ~39300000 trees, 384901 survivors [63914s]
n=24: 39299897 trees; norm-screen survivors: 384901 [64416s]
exact factorization on 360549 survivor polynomials: 6695s; STRICT trees: 257 on 238 polynomials
stage 1 done: 39299897 trees, 384901 survivors, 257 strict on 238 polys [71112s]
partner map k=12: 4074 targets [119s]
  [1/257] parent partnered=True fold_half=1 halves=1 [71241s]
  [2/257] parent partnered=True fold_half=1 halves=4 [71241s]
  [3/257] parent partnered=True fold_half=1 halves=1 [71241s]
  [4/257] parent partnered=True fold_half=1 halves=1 [71241s]
  [5/257] parent partnered=True fold_half=1 halves=1 [71241s]
  [6/257] parent partnered=True fold_half=1 halves=1 [71241s]
  [7/257] parent partnered=True fold_half=1 halves=8 [71241s]
  [8/257] unpartnered partnered=False fold_half=- halves=8 [71241s]
  [9/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [10/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [11/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [12/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [13/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [14/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [15/257] parent partnered=True fold_half=1 halves=1 [71242s]
  [16/257] asymmetric partnered=False fold_half=- halves=1 [71242s]
  [17/257] asymmetric partnered=False fold_half=- halves=1 [71242s]
  [18/257] asymmetric partnered=False fold_half=- halves=1 [71242s]
  [19/257] parent partnered=True fold_half=1 halves=4 [71242s]
  [20/257] parent partnered=True fold_half=1 halves=1 [71243s]
  [21/257] parent partnered=True fold_half=1 halves=1 [71243s]
  [22/257] asymmetric partnered=False fold_half=- halves=4 [71243s]
  [23/257] parent partnered=True fold_half=1 halves=4 [71243s]
  [24/257] parent partnered=True fold_half=1 halves=1 [71243s]
  [25/257] parent partnered=True fold_half=1 halves=1 [71243s]
  [26/257] parent partnered=True fold_half=1 halves=1 [71243s]
  [27/257] parent partnered=True fold_half=1 halves=1 [71243s]
  [28/257] parent partnered=True fold_half=1 halves=4 [71244s]
  [29/257] asymmetric partnered=False fold_half=- halves=4 [71244s]
  [30/257] asymmetric partnered=False fold_half=- halves=16 [71244s]
  [31/257] asymmetric partnered=False fold_half=- halves=1 [71244s]
  [32/257] asymmetric partnered=False fold_half=- halves=4 [71244s]
  [33/257] parent partnered=True fold_half=1 halves=1 [71244s]
  [34/257] parent partnered=True fold_half=1 halves=1 [71244s]
  [35/257] parent partnered=True fold_half=1 halves=1 [71244s]
  [36/257] parent partnered=True fold_half=1 halves=8 [71244s]
  [37/257] parent partnered=True fold_half=1 halves=2 [71244s]
  [38/257] asymmetric partnered=False fold_half=- halves=4 [71245s]
  [39/257] unpartnered partnered=False fold_half=- halves=4 [71245s]
  [40/257] parent partnered=True fold_half=1 halves=16 [71245s]
  [41/257] parent partnered=True fold_half=1 halves=16 [71245s]
  [42/257] parent partnered=True fold_half=1 halves=16 [71245s]
  [43/257] parent partnered=True fold_half=1 halves=1 [71245s]
  [44/257] parent partnered=True fold_half=1 halves=1 [71246s]
  [45/257] parent partnered=True fold_half=1 halves=1 [71246s]
  [46/257] parent partnered=True fold_half=1 halves=1 [71246s]
  [47/257] parent partnered=True fold_half=1 halves=1 [71246s]
  [48/257] asymmetric partnered=False fold_half=- halves=2 [71246s]
  [49/257] parent partnered=True fold_half=2 halves=1 [71246s]
  [50/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [51/257] parent partnered=True fold_half=1 halves=4 [71247s]
  [52/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [53/257] asymmetric partnered=False fold_half=- halves=1 [71247s]
  [54/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [55/257] unpartnered partnered=False fold_half=- halves=16 [71247s]
  [56/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [57/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [58/257] unpartnered partnered=False fold_half=- halves=4 [71247s]
  [59/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [60/257] parent partnered=True fold_half=1 halves=1 [71247s]
  [61/257] unpartnered partnered=False fold_half=- halves=16 [71248s]
  [62/257] parent partnered=True fold_half=1 halves=1 [71248s]
  [63/257] parent partnered=True fold_half=1 halves=1 [71248s]
  [64/257] parent partnered=True fold_half=1 halves=1 [71248s]
  [65/257] parent partnered=True fold_half=1 halves=1 [71248s]
  [66/257] asymmetric partnered=False fold_half=- halves=4 [71249s]
  [67/257] parent partnered=True fold_half=1 halves=1 [71249s]
  [68/257] parent partnered=True fold_half=1 halves=1 [71249s]
  [69/257] parent partnered=True fold_half=1 halves=1 [71249s]
  [70/257] parent partnered=True fold_half=1 halves=1 [71249s]
  [71/257] parent partnered=True fold_half=1 halves=1 [71249s]
  [72/257] parent partnered=True fold_half=1 halves=1 [71249s]
  [73/257] asymmetric partnered=False fold_half=- halves=4 [71250s]
